election_year,election_regio_code,municipality_code,cbs_gm_code,election_municipality,cbs_municipality,province_code,province_code_pv,province,raw_name_match,normalized_name_match
2023,G0281,0281,GM0281,Tiel,Tiel,25,PV25,Gelderland,true,true
2023,G0285,0285,GM0285,Voorst,Voorst,25,PV25,Gelderland,true,true
2023,G0289,0289,GM0289,Wageningen,Wageningen,25,PV25,Gelderland,true,true
2023,G0293,0293,GM0293,Westervoort,Westervoort,25,PV25,Gelderland,true,true
2023,G0294,0294,GM0294,Winterswijk,Winterswijk,25,PV25,Gelderland,true,true
2023,G0296,0296,GM0296,Wijchen,Wijchen,25,PV25,Gelderland,true,true
2023,G0297,0297,GM0297,Zaltbommel,Zaltbommel,25,PV25,Gelderland,true,true
2023,G0299,0299,GM0299,Zevenaar,Zevenaar,25,PV25,Gelderland,true,true
2023,G0301,0301,GM0301,Zutphen,Zutphen,25,PV25,Gelderland,true,true
2023,G0302,0302,GM0302,Nunspeet,Nunspeet,25,PV25,Gelderland,true,true
2023,G0303,0303,GM0303,Dronten,Dronten,24,PV24,Flevoland,true,true
2023,G0307,0307,GM0307,Amersfoort,Amersfoort,26,PV26,Utrecht,true,true
2023,G0308,0308,GM0308,Baarn,Baarn,26,PV26,Utrecht,true,true
2023,G0310,0310,GM0310,De Bilt,De Bilt,26,PV26,Utrecht,true,true
2023,G0312,0312,GM0312,Bunnik,Bunnik,26,PV26,Utrecht,true,true
2023,G0313,0313,GM0313,Bunschoten,Bunschoten,26,PV26,Utrecht,true,true
2023,G0317,0317,GM0317,Eemnes,Eemnes,26,PV26,Utrecht,true,true
2023,G0321,0321,GM0321,Houten,Houten,26,PV26,Utrecht,true,true
2023,G0327,0327,GM0327,Leusden,Leusden,26,PV26,Utrecht,true,true
2023,G0331,0331,GM0331,Lopik,Lopik,26,PV26,Utrecht,true,true
2023,G0335,0335,GM0335,Montfoort,Montfoort,26,PV26,Utrecht,true,true
2023,G0339,0339,GM0339,Renswoude,Renswoude,26,PV26,Utrecht,true,true
2023,G0340,0340,GM0340,Rhenen,Rhenen,26,PV26,Utrecht,true,true
2023,G0342,0342,GM0342,Soest,Soest,26,PV26,Utrecht,true,true
2023,G0344,0344,GM0344,Utrecht,Utrecht,26,PV26,Utrecht,true,true
2023,G0345,0345,GM0345,Veenendaal,Veenendaal,26,PV26,Utrecht,true,true
2023,G0351,0351,GM0351,Woudenberg,Woudenberg,26,PV26,Utrecht,true,true
2023,G0352,0352,GM0352,Wijk bij Duurstede,Wijk bij Duurstede,26,PV26,Utrecht,true,true
2023,G0353,0353,GM0353,IJsselstein,IJsselstein,26,PV26,Utrecht,true,true
2023,G0355,0355,GM0355,Zeist,Zeist,26,PV26,Utrecht,true,true
2023,G0356,0356,GM0356,Nieuwegein,Nieuwegein,26,PV26,Utrecht,true,true
2023,G0358,0358,GM0358,Aalsmeer,Aalsmeer,27,PV27,Noord-Holland,true,true
2023,G0361,0361,GM0361,Alkmaar,Alkmaar,27,PV27,Noord-Holland,true,true
2023,G0362,0362,GM0362,Amstelveen,Amstelveen,27,PV27,Noord-Holland,true,true
