country_id,factor_id,year,reference_period,geography_version,public_geography_type,public_geography_id,cbs_gm_code,municipality,value,unit,source_name,provenance_ref,comparability_status
netherlands,education,2023,2023-10-01,cbs-gemeentelijke-indeling-2023,municipality,0203,GM0203,Barneveld,23.7,percent,CBS StatLine 85525NED Hoogstbehaald onderwijsniveau,provenance/netherlands_education_manifest.json,family_mapped
netherlands,education,2023,2023-10-01,cbs-gemeentelijke-indeling-2023,municipality,0209,GM0209,Beuningen,31.7,percent,CBS StatLine 85525NED Hoogstbehaald onderwijsniveau,provenance/netherlands_education_manifest.json,family_mapped
netherlands,education,2023,2023-10-01,cbs-gemeentelijke-indeling-2023,municipality,0213,GM0213,Brummen,27.5,percent,CBS StatLine 85525NED Hoogstbehaald onderwijsniveau,provenance/netherlands_education_manifest.json,family_mapped
netherlands,education,2023,2023-10-01,cbs-gemeentelijke-indeling-2023,municipality,0214,GM0214,Buren,26.1,percent,CBS StatLine 85525NED Hoogstbehaald onderwijsniveau,provenance/netherlands_education_manifest.json,family_mapped
netherlands,education,2023,2023-10-01,cbs-gemeentelijke-indeling-2023,municipality,0216,GM0216,Culemborg,37.4,percent,CBS StatLine 85525NED Hoogstbehaald onderwijsniveau,provenance/netherlands_education_manifest.json,family_mapped
netherlands,education,2023,2023-10-01,cbs-gemeentelijke-indeling-2023,municipality,0221,GM0221,Doesburg,24.4,percent,CBS StatLine 85525NED Hoogstbehaald onderwijsniveau,provenance/netherlands_education_manifest.json,family_mapped
netherlands,education,2023,2023-10-01,cbs-gemeentelijke-indeling-2023,municipality,0222,GM0222,Doetinchem,30.6,percent,CBS StatLine 85525NED Hoogstbehaald onderwijsniveau,provenance/netherlands_education_manifest.json,family_mapped
netherlands,education,2023,2023-10-01,cbs-gemeentelijke-indeling-2023,municipality,0225,GM0225,Druten,28.2,percent,CBS StatLine 85525NED Hoogstbehaald onderwijsniveau,provenance/netherlands_education_manifest.json,family_mapped
netherlands,education,2023,2023-10-01,cbs-gemeentelijke-indeling-2023,municipality,0226,GM0226,Duiven,28.0,percent,CBS StatLine 85525NED Hoogstbehaald onderwijsniveau,provenance/netherlands_education_manifest.json,family_mapped
netherlands,education,2023,2023-10-01,cbs-gemeentelijke-indeling-2023,municipality,0228,GM0228,Ede,32.2,percent,CBS StatLine 85525NED Hoogstbehaald onderwijsniveau,provenance/netherlands_education_manifest.json,family_mapped
